pmid	food-id	disease-id	association
25523370	Plant ID:4442	MESH:D006943	Positive
25527178	Plant ID:4220	MESH:D004194	Positive
25532007	Plant ID:3972	MESH:D010190	Positive
25532007	Plant ID:3972	MESH:D010190	Positive
25532007	Plant ID:3972	MESH:D009369	Positive
25532007	Plant ID:3972	MESH:D003110	Positive
25536877	Plant ID:397098	MESH:D003920	Positive
25536877	Plant ID:34199	MESH:D003920	Positive
25539472	Plant ID:55843	MESH:D009369	Positive
25545809	Plant ID:4097	MESH:D020301	Negative
25545809	Plant ID:4097	MESH:D006470	Negative
25545809	Plant ID:4097	MESH:D020202	Negative
25545809	Plant ID:4097	MESH:D020301	Negative
25546139	Plant ID:4097	MESH:D010025	Negative
26891216	Plant ID:75079	MESH:D002318	Positive
26891216	Plant ID:75079	MESH:D002318	Positive
26891216	Plant ID:75079	MESH:D008659	Positive
27007372	Plant ID:223753	MESH:D001249	Positive
27007372	Plant ID:223753	MESH:D004342	Positive
9544922	Plant ID:46963	MESH:D009203	Negative
9544922	Plant ID:46963	MESH:D006333	Negative
9544922	Plant ID:46963	MESH:D012769	Negative
9551352	Plant ID:4097	MESH:D001022	Negative
9551352	Plant ID:4097	MESH:D001022	Negative
9551757	Plant ID:4097	MESH:D009369	Negative
9551757	Plant ID:4097	MESH:D002318	Negative
9551757	Plant ID:4097	MESH:D012131	Negative
9551757	Plant ID:4097	MESH:D004194	Negative
9551757	Plant ID:4097	MESH:D004194	Negative
9553358	Plant ID:4565	MESH:D009393	Negative
9553358	Plant ID:4565	MESH:D011565	Negative
9553358	Plant ID:4565	MESH:D056486	Negative
9553358	Plant ID:4565	MESH:D001171	Negative
9553358	Plant ID:4565	MESH:D013967	Negative
9559335	Plant ID:4054	MESH:D006948	Positive
22449440	Plant ID:223870	MESH:D012769	Positive
22449440	Plant ID:223870	MESH:D004412	Positive
22449440	Plant ID:223870	MESH:D006417	Positive
22449440	Plant ID:223870	MESH:D006484	Positive
22449440	Plant ID:223870	MESH:D007249	Positive
22449440	Plant ID:223870	MESH:D009369	Positive
22449440	Plant ID:223870	MESH:D014456	Positive
22449440	Plant ID:223870	MESH:D001523	Positive
22453134	Plant ID:120290	MESH:D007251	Positive
22465718	Plant ID:4097	MESH:D014376	Negative
22473073	Plant ID:138043	MESH:D051436	Positive
11967776	Plant ID:4550	MESH:D004342	Negative
18096028	Plant ID:94328	MESH:D010051	Positive
18096028	Plant ID:94328	MESH:D010051	Positive
18096028	Plant ID:94328	MESH:D010051	Positive
18104715	Plant ID:3712	MESH:D014456	Positive
18104715	Plant ID:3712	MESH:D014456	Positive
18104715	Plant ID:3712	MESH:D014456	Positive
21035530	Plant ID:136217	MESH:D009369	Positive
21035530	Plant ID:136217	MESH:D009369	Positive
21035530	Plant ID:136217	MESH:D009369	Positive
21035530	Plant ID:136217	MESH:D009369	Positive
24555269	Plant ID:101015	OMIM:607948	Positive
24559073	Plant ID:4068	MESH:D004342	Positive
24561384	Plant ID:50507	MESH:D007249	Positive
24577927	Plant ID:240005	MESH:D007249	Positive
24583870	Plant ID:709039	MESH:D003877	Positive
8299665	Plant ID:4682	MESH:D001791	Positive
