pubchem-id	disease-id
65064.0	MESH:D001943
65064.0	MESH:D009410
65064.0	MESH:D009361
65064.0	MESH:D011472
65064.0	MESH:D006528
65064.0	MESH:D009134
65064.0	MESH:D050197
65064.0	MESH:D007674
65064.0	MESH:D055371
65064.0	MESH:D006561
65064.0	MESH:D005393
65064.0	MESH:D015431
65064.0	MESH:D006331
65064.0	MESH:D015179
65064.0	MESH:D000236
65064.0	MESH:D006948
65064.0	MESH:D008175
65064.0	MESH:D056486
65064.0	MESH:D019970
65064.0	MESH:D003924
65064.0	MESH:D008103
65064.0	MESH:D002294
65064.0	MESH:D008113
65064.0	MESH:D003110
65064.0	MESH:D010190
65064.0	MESH:D056627
65064.0	MESH:D007249
65064.0	MESH:D006461
65064.0	MESH:D012878
65064.0	MESH:D066126
65064.0	MESH:D058186
65064.0	MESH:D013375
65064.0	MESH:D006470
65064.0	MESH:D008545
65064.0	MESH:D001249
65064.0	MESH:D011471
65064.0	MESH:D001327
65064.0	MESH:D009203
65064.0	MESH:D014062
65064.0	MESH:D002312
65064.0	MESH:D004487
807.0	MESH:D007249
807.0	MESH:D008944
807.0	MESH:D008325
807.0	MESH:D006042
807.0	MESH:D013971
807.0	MESH:D018487
807.0	MESH:D006980
5280804.0	MESH:D002471
6433159.0	MESH:D007939
6433159.0	MESH:D009845
6433159.0	MESH:D009336
6433159.0	MESH:D056486
6433159.0	MESH:D011085
6433159.0	MESH:D015431
6433159.0	MESH:D014605
5280483.0	MESH:D006406
5280483.0	MESH:D002543
5280483.0	MESH:D020300
122738.0	MESH:D011469
122738.0	MESH:D006943
122738.0	MESH:D015431
5280805.0	MESH:D006332
5280805.0	MESH:D005234
5280805.0	MESH:D007333
5280805.0	MESH:D009336
5280805.0	MESH:D002286
5280805.0	MESH:D028361
5280805.0	MESH:D009101
5280805.0	MESH:D004409
5280805.0	MESH:D001424
5280805.0	MESH:D007674
5280805.0	MESH:D055371
5280805.0	MESH:D006930
5280805.0	MESH:D050171
5280805.0	MESH:D013276
5280805.0	MESH:D006946
5280805.0	MESH:D015212
5280805.0	MESH:D033461
5280805.0	MESH:D005199
5280805.0	MESH:D056486
5280805.0	MESH:D007938
5280805.0	MESH:D015430
5280805.0	MESH:D010243
5280805.0	MESH:D006461
5280805.0	MESH:D008545
5280805.0	MESH:D000380
5280805.0	MESH:D003092
5280805.0	MESH:D018487
5280805.0	MESH:D011654
5280805.0	MESH:D006529
5280459.0	MESH:D010146
1110.0	MESH:D062787
1110.0	MESH:D003128
1110.0	MESH:D007035
5988.0	MESH:D019969
5988.0	MESH:D006461
1130.0	MESH:D000138
1130.0	MESH:D009202
1130.0	MESH:D015362
1130.0	MESH:D006501
1130.0	MESH:D000430
1130.0	MESH:D002386
1130.0	MESH:D002971
1130.0	MESH:D010146
1130.0	MESH:D006333
1130.0	MESH:D017240
1130.0	MESH:D001927
1130.0	MESH:D001714
1130.0	MESH:D007855
1130.0	MESH:D002524
1130.0	MESH:D002972
1130.0	MESH:D014899
14985.0	MESH:D018376
14985.0	MESH:D000230
14985.0	MESH:D005317
14985.0	MESH:D011085
14985.0	MESH:D006528
14985.0	MESH:D009069
14985.0	MESH:D009886
14985.0	MESH:D011507
14985.0	MESH:D006330
14985.0	MESH:D015179
14985.0	MESH:D001161
14985.0	MESH:C531617
14985.0	MESH:D007669
14985.0	MESH:C535393
14985.0	MESH:D008548
14985.0	MESH:D000787
14985.0	MESH:D009845
14985.0	MESH:D006130
14985.0	MESH:D009133
14985.0	MESH:D005921
14985.0	MESH:D015658
14985.0	MESH:D004938
14985.0	MESH:D005234
14985.0	MESH:D006548
14985.0	MESH:D011658
14985.0	MESH:D005141
14985.0	MESH:D000152
14985.0	MESH:D020261
14985.0	MESH:D050171
14985.0	MESH:D007246
14985.0	MESH:D006333
14985.0	MESH:D020258
14985.0	MESH:D000860
14985.0	MESH:D008844
14985.0	MESH:D008108
14985.0	MESH:D002252
14985.0	MESH:D051437
14985.0	MESH:D007251
14985.0	MESH:D018908
14985.0	MESH:D006332
14985.0	MESH:D007333
14985.0	MESH:D001943
14985.0	MESH:D009410
14985.0	MESH:D019465
14985.0	MESH:D000743
14985.0	MESH:D008171
14985.0	MESH:D009422
14985.0	MESH:D064420
14985.0	MESH:D013276
14985.0	MESH:D006331
14985.0	MESH:D011115
14985.0	MESH:D012021
14985.0	MESH:D007680
14985.0	MESH:D004915
14985.0	MESH:D009135
14985.0	MESH:D007249
14985.0	MESH:D012871
14985.0	MESH:D011471
14985.0	MESH:D010523
14985.0	MESH:D009203
14985.0	MESH:D008107
14985.0	MESH:D020520
14985.0	MESH:D007037
14985.0	MESH:D000013
14985.0	MESH:D006973
14985.0	MESH:D009336
14985.0	MESH:D008106
14985.0	MESH:D007248
14985.0	OMIM:146850
14985.0	MESH:D005923
14985.0	MESH:D006980
14985.0	MESH:D053627
14985.0	MESH:D014811
14985.0	MESH:D050197
14985.0	MESH:D019584
14985.0	MESH:D007674
14985.0	MESH:D002545
14985.0	MESH:D012178
14985.0	MESH:D009436
14985.0	MESH:D009120
14985.0	MESH:D002471
14985.0	MESH:D015431
14985.0	MESH:D003877
14985.0	MESH:D003930
14985.0	MESH:D009205
14985.0	MESH:D008175
14985.0	MESH:D020521
14985.0	MESH:D001259
14985.0	MESH:D056486
14985.0	MESH:D006261
14985.0	MESH:D001927
14985.0	MESH:D016491
14985.0	MESH:D006461
14985.0	MESH:D000740
14985.0	MESH:D003928
14985.0	MESH:D058186
14985.0	MESH:D019636
14985.0	MESH:D003921
222284.0	MESH:D015228
222284.0	MESH:D006937
222284.0	MESH:D056486
14986.0	MESH:D014811
14986.0	MESH:D003327
14986.0	MESH:D006345
14986.0	MESH:D008654
14986.0	MESH:D008325
14986.0	MESH:D009336
14986.0	MESH:D007172
14986.0	MESH:D002545
14986.0	MESH:D011471
171548.0	MESH:D006943
171548.0	MESH:D007333
171548.0	MESH:C537658
28179.0	MESH:D002114
28179.0	MESH:D006461
62434.0	MESH:D056486
19.0	MESH:D034381
19.0	MESH:D007674
19.0	MESH:D015837
19.0	MESH:D058186
243.0	MESH:D022124
243.0	MESH:D020165
681.0	MESH:D012127
681.0	MESH:D062787
681.0	MESH:D016171
681.0	MESH:D004409
681.0	MESH:D012640
681.0	MESH:D007024
681.0	MESH:D012772
681.0	MESH:D002375
681.0	MESH:D014202
681.0	MESH:D009846
681.0	MESH:D006331
681.0	MESH:D010547
681.0	MESH:D006323
681.0	MESH:D002303
681.0	MESH:D019970
681.0	MESH:D006333
681.0	MESH:D012770
681.0	MESH:D058186
681.0	MESH:D018476
681.0	MESH:D012769
681.0	MESH:D007022
681.0	MESH:D018487
681.0	MESH:D004417
370.0	MESH:D006943
370.0	MESH:D005234
370.0	MESH:D018149
370.0	MESH:D010182
370.0	MESH:D009361
370.0	MESH:D003920
370.0	MESH:D009069
370.0	MESH:D006937
370.0	MESH:D050171
370.0	MESH:D006949
370.0	MESH:D015228
370.0	MESH:D013276
370.0	MESH:D006331
370.0	MESH:D005355
370.0	MESH:D012516
370.0	MESH:D015427
370.0	MESH:D009362
370.0	MESH:D015464
370.0	MESH:D058186
370.0	MESH:D008546
370.0	MESH:D007511
370.0	MESH:D009203
370.0	MESH:D003921
774.0	MESH:D008569
774.0	MESH:D001145
774.0	MESH:D006967
774.0	MESH:D008545
774.0	MESH:D010146
774.0	MESH:D012640
774.0	MESH:D011833
774.0	MESH:D007410
6047.0	MESH:D012148
6047.0	MESH:C538421
6047.0	MESH:D020149
6047.0	MESH:D013494
6047.0	MESH:D004421
6047.0	MESH:D012135
6047.0	MESH:D006527
6047.0	MESH:C538007
6047.0	MESH:D004409
6047.0	MESH:D009127
6047.0	MESH:D000550
6047.0	MESH:D009069
6047.0	MESH:D010264
6047.0	MESH:D012791
6047.0	MESH:D008569
6047.0	MESH:D020189
6047.0	MESH:D020186
6047.0	MESH:C537537
6047.0	MESH:D064420
6047.0	MESH:D002375
6047.0	MESH:D014202
6047.0	MESH:D014786
6047.0	MESH:D020820
6047.0	MESH:D010554
6047.0	MESH:D020233
6047.0	MESH:D009103
6047.0	MESH:D019970
6047.0	MESH:D006333
6047.0	MESH:D020258
6047.0	MESH:D009461
6047.0	MESH:D001927
6047.0	MESH:D003128
6047.0	MESH:D003072
6047.0	MESH:D000690
6047.0	MESH:D019578
6047.0	MESH:C537968
6047.0	MESH:D002389
6047.0	MESH:D003928
6047.0	MESH:D010300
6047.0	MESH:D018476
6047.0	MESH:D018458
6047.0	MESH:D010146
6047.0	MESH:D010302
6047.0	MESH:D020734
6047.0	MESH:D001930
6047.0	MESH:D007022
876.0	MESH:D007249
876.0	MESH:D006505
876.0	MESH:D007669
876.0	MESH:D011041
876.0	MESH:D020335
876.0	MESH:D008106
876.0	MESH:D008661
876.0	MESH:D056486
876.0	MESH:D019970
876.0	MESH:D005910
876.0	MESH:D034381
876.0	MESH:D012640
876.0	MESH:D016136
876.0	MESH:D013118
876.0	MESH:D065626
876.0	MESH:D015431
876.0	MESH:D003711
876.0	MESH:D005235
876.0	MESH:D005327
876.0	MESH:D006528
1123.0	MESH:D006943
1123.0	MESH:D009202
1123.0	MESH:D004195
1123.0	MESH:D006973
1123.0	MESH:D011658
1123.0	MESH:D009336
1123.0	MESH:D008106
1123.0	MESH:D048909
1123.0	MESH:D012640
1123.0	MESH:D005923
1123.0	MESH:D053627
1123.0	MESH:D007859
1123.0	MESH:D011507
1123.0	MESH:D005198
1123.0	MESH:D007674
1123.0	MESH:D055371
1123.0	MESH:D020261
1123.0	MESH:D058065
1123.0	MESH:D050171
1123.0	MESH:D017495
1123.0	MESH:D015431
1123.0	MESH:D004646
1123.0	MESH:D006331
1123.0	MESH:D003922
1123.0	MESH:D005355
1123.0	MESH:D001145
1123.0	MESH:D013733
1123.0	MESH:D056486
1123.0	MESH:D006984
1123.0	MESH:D000860
1123.0	MESH:D003072
1123.0	MESH:D001651
1123.0	MESH:D007249
1123.0	MESH:D019446
1123.0	MESH:D020388
1123.0	MESH:D009845
1123.0	MESH:D066126
1123.0	MESH:D003928
1123.0	MESH:D006470
1123.0	MESH:D009133
1123.0	MESH:D009203
1123.0	MESH:D003921
1123.0	MESH:D007022
1123.0	MESH:D018487
1123.0	MESH:D004487
1123.0	MESH:D018908
23964.0	MESH:D050197
23990.0	MESH:D001943
23990.0	MESH:D003110
23990.0	MESH:D002471
23990.0	MESH:D006528
23990.0	MESH:D008114
121922.0	MESH:D009369
121922.0	MESH:D017202
121922.0	MESH:D009389
7463.0	MESH:D059226
5991.0	MESH:D054059
5991.0	MESH:D004412
5991.0	MESH:D019964
5991.0	MESH:D007319
5991.0	MESH:D006628
5991.0	MESH:D004428
5991.0	MESH:D011230
5991.0	MESH:D019584
5991.0	MESH:D000152
5991.0	MESH:D014693
5991.0	MESH:D011471
5991.0	MESH:D001169
5991.0	MESH:D007247
5991.0	MESH:D016584
5991.0	MESH:D017202
5991.0	MESH:D011085
5991.0	MESH:D013927
5991.0	MESH:D007775
5991.0	MESH:D001161
5991.0	MESH:D004681
147004.0	MESH:D003110
147004.0	MESH:D006943
147004.0	MESH:D008325
2214.0	MESH:D004195
2214.0	MESH:D006973
2214.0	MESH:D009336
2214.0	MESH:D009410
2214.0	MESH:D009361
2214.0	MESH:D000419
2214.0	MESH:D001919
2214.0	MESH:D011014
2214.0	MESH:D002310
2214.0	MESH:D020520
2214.0	MESH:D013276
2214.0	MESH:D006331
2214.0	MESH:D061205
2214.0	MESH:D013733
2214.0	MESH:D000860
2214.0	MESH:D015430
2214.0	MESH:D020388
2214.0	MESH:D000740
2214.0	MESH:D003928
2214.0	MESH:D006470
2214.0	MESH:D007022
2214.0	MESH:D004487
2214.0	MESH:D018908
60961.0	MESH:D009202
60961.0	MESH:D006973
60961.0	MESH:D009336
60961.0	MESH:D013610
60961.0	MESH:D004830
60961.0	MESH:D009410
60961.0	MESH:D013272
60961.0	MESH:D012640
60961.0	MESH:D004827
60961.0	MESH:D009422
60961.0	MESH:D017180
60961.0	MESH:D013617
60961.0	MESH:D006930
60961.0	MESH:D017202
60961.0	MESH:D006977
60961.0	MESH:D001145
60961.0	MESH:D015427
60961.0	MESH:D006333
60961.0	MESH:D001249
60961.0	MESH:D010146
60961.0	MESH:D001282
65036.0	MESH:D005234
65036.0	MESH:D006470
