common-names	food-name	food-id	food-category	scientific-name	tax-id
	Persicaria longiseta	Plant ID:467333	Miscellaneous	Persicaria longiseta	467333.0
	Dalea candida	Plant ID:252452	Miscellaneous	Dalea candida	252452.0
	Lilium amabile	Plant ID:82311	Miscellaneous	Lilium amabile	82311.0
hong Kong lily; ye bai he	Hong kong lily	Plant ID:82312	Miscellaneous	Lilium brownii	82312.0
	Persicaria orientalis	Plant ID:467334	Miscellaneous	Persicaria orientalis	467334.0
pin cherry	Pin cherry	Plant ID:262529	Miscellaneous	Prunus pensylvanica	262529.0
	Lilium cernuum	Plant ID:82315	Miscellaneous	Lilium cernuum	82315.0
	Lilium davidii	Plant ID:82316	Miscellaneous	Lilium davidii	82316.0
rusty nanny berry; blue haw; southern blackhaw	Rusty nanny berry	Plant ID:237956	Miscellaneous	Viburnum rufidulum	237956.0
	Lilium hansonii	Plant ID:82318	Miscellaneous	Lilium hansonii	82318.0
gomo ju	Gomo ju	Plant ID:237958	Miscellaneous	Viburnum suspensum	237958.0
	Pinus pungens	Plant ID:164241	Miscellaneous	Pinus pungens	164241.0
beach lovage; scots lovage	Beach lovage	Plant ID:49554	Miscellaneous	Ligusticum scoticum	49554.0
	Lilium martagon	Plant ID:82322	Miscellaneous	Lilium martagon	82322.0
	Lilium nanum	Plant ID:82323	Miscellaneous	Lilium nanum	82323.0
	Lilium nepalense	Plant ID:82324	Miscellaneous	Lilium nepalense	82324.0
	Oenanthe javanica	Plant ID:49556	Miscellaneous	Oenanthe javanica	49556.0
saigon cinnamon	Saigon cinnamon	Plant ID:688535	Miscellaneous	Cinnamomum loureiroi	688535.0
	Brahea armata	Plant ID:1089944	Miscellaneous	Brahea armata	1089944.0
	Lilium pumilum	Plant ID:82327	Miscellaneous	Lilium pumilum	82327.0
	Lilium sargentiae	Plant ID:82329	Miscellaneous	Lilium sargentiae	82329.0
	Copernicia alba	Plant ID:1089947	Miscellaneous	Copernicia alba	1089947.0
watercre; watercress; watercres	Watercre	Plant ID:65948	Plant	Nasturtium officinale	65948.0
	Lilium tsingtauense	Plant ID:82331	Miscellaneous	Lilium tsingtauense	82331.0
	Lilium wallichianum	Plant ID:82332	Miscellaneous	Lilium wallichianum	82332.0
	Osmorhiza aristata	Plant ID:49558	Miscellaneous	Osmorhiza aristata	49558.0
	Peucedanum japonicum	Plant ID:49563	Miscellaneous	Peucedanum japonicum	49563.0
	Pleurospermum camtschaticum	Plant ID:49565	Miscellaneous	Pleurospermum camtschaticum	49565.0
	Populus fremontii	Plant ID:295326	Miscellaneous	Populus fremontii	295326.0
	Populus simonii	Plant ID:295327	Miscellaneous	Populus simonii	295327.0
	Ribes sinanense	Plant ID:208495	Miscellaneous	Ribes sinanense	208495.0
	Passiflora tarminiana	Plant ID:483749	Miscellaneous	Passiflora tarminiana	483749.0
	Ribes stenocarpum	Plant ID:208496	Miscellaneous	Ribes stenocarpum	208496.0
	Rorippa amphibia	Plant ID:65951	Miscellaneous	Rorippa amphibia	65951.0
	Salvia lanata	Plant ID:1933731	Miscellaneous	Salvia lanata	1933731.0
	Paeonia ostii	Plant ID:459177	Miscellaneous	Paeonia ostii	459177.0
himalayan white pine; blue pine; bhutan pine	Himalayan white pine	Plant ID:3341	Miscellaneous	Pinus wallichiana	3341.0
	Sanicula chinensis	Plant ID:49570	Miscellaneous	Sanicula chinensis	49570.0
seaside ragwort	Seaside ragwort	Plant ID:98725	Miscellaneous	Senecio pseudoarnica	98725.0
	Tilingia ajanensis	Plant ID:49575	Miscellaneous	Tilingia ajanensis	49575.0
	Pyrus syriaca	Plant ID:500142	Miscellaneous	Pyrus syriaca	500142.0
	Torilis japonica	Plant ID:49576	Miscellaneous	Torilis japonica	49576.0
	Vitis californica	Plant ID:754096	Miscellaneous	Vitis californica	754096.0
beach plum	Beach plum	Plant ID:151436	Miscellaneous	Prunus maritima	151436.0
	Vitis cordifolia	Plant ID:754097	Miscellaneous	Vitis cordifolia	754097.0
